"","...1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","rank","Y"
"77","cngb3.1",15.2577729751236,-0.340646329532868,0.57493370392549,-0.592496712589693,0.553518021458079,0.805500511226614,"ENSDARG00000077560",-0.408539031729706,"792257"
"78","cpne3",44.3930731234576,-0.724532880152994,0.313791513298969,-2.30896263743974,0.0209456546232575,0.133021349145281,"ENSDARG00000086699",2.86582407067873,"566516"
"79","fam168b",496.595074082576,0.85134890313432,0.387454578097923,2.19728698861613,0.0279999563210703,0.158998822887316,"ENSDARG00000103494",4.57555232876993,"394101"
"80","abcd3a",102.707081751027,-0.294711980556809,0.200993246659911,-1.46627802403467,0.142572559885638,0.41817560636395,"ENSDARG00000034309",0.947904216687864,"321807"
"81","f3a",39.1044807844659,-0.319301988306218,0.30024749036349,-1.06346263850419,0.287572199687654,0.598312022406993,"ENSDARG00000061603",0.246281320924066,"334682"
"82","zgc:112982",1062.72068302013,-0.171684943006032,0.147923750131913,-1.16063135806745,0.245791847349778,0.551565207808778,"ENSDARG00000016598",0.403270250220536,"393963"
"83","lipib",29.4863925878178,-0.210729828613101,0.335569747453215,-0.627976241042053,0.530019504348602,0.792655909949727,"ENSDARG00000075441",-0.365158527544643,"100150672"
"84","LOC110439255",11.7116667246832,-0.314954685980688,0.63581550898469,-0.495355463228049,0.620349226655026,0.842696949173697,"ENSDARG00000095825",-0.522527309279104,"406361"
"85","ctnnd2a",735.079056018847,0.112962617627656,0.0946148001546964,1.19392121996729,0.232508786001366,0.53781309337414,"ENSDARG00000058011",2.45882726541554,"334334"
"86","rdh10a",152.27637116247,-0.260325488706411,0.213291971674958,-1.22051236463381,0.22227070517519,0.528178477598484,"ENSDARG00000089217",0.503859247284251,"101055497"
"87","stau2",1336.92402411729,0.184090972332489,0.0887317149500694,2.0746919231312,0.0380150964270545,0.193514286488531,"ENSDARG00000013207",4.26977192375216,"334724"
"88","rap1gap",135.056285727865,0.351715817964773,0.189370627885897,1.85728812272141,0.0632701733047207,0.261642286358899,"ENSDARG00000114534",3.76034125669764,"541518"
"89","slc2a1a",142.26715751215,0.767419436115257,0.229954384353714,3.33726812068439,0.00084606286549751,0.0142980725361865,"ENSDARG00000037097",8.07491689202012,"449540"
"90","phc2a",97.2473754383956,-0.442148041522431,0.205004604800872,-2.15677126839129,0.0310234908373725,0.169883535248179,"ENSDARG00000018968",2.47301059251142,"335907"
"91","eif4g3b",357.831651852189,0.167010417476886,0.126938690565441,1.31567780266952,0.188282207559928,0.484841416459953,"ENSDARG00000057410",2.66981333764047,"555936"
"92","ephb2a",105.548357970029,0.180895197343199,0.190434098688898,0.949909698886008,0.342158138216683,0.648590057101323,"ENSDARG00000043404",2.07248225634353,"563989"
"93","atp2b3b",2913.58709221189,0.208549952458153,0.0823394185951865,2.53280817397397,0.0113152856645482,0.0893142823698474,"ENSDARG00000100666",5.48160075367991,"568849"
"94","haus7",24.7161925153457,-0.955941222786363,0.424020718508005,-2.25446819237989,0.0241667295063736,0.146003674539989,"ENSDARG00000032820",2.72277840552926,"767650"
"95","emd",78.7226689878728,-0.557411770842986,0.292544918747344,-1.90538866041421,0.056729568144288,0.246614117369711,"ENSDARG00000037373",1.86945972014773,"407650"
"96","flna",66.6896719766382,-0.816365100179661,0.221522408427257,-3.68524839530054,0.000228479697586938,0.00548305704515353,"ENSDARG00000032246",7.38406320240051,"793882"
"97","rpl10",298.551849518867,0.270542472562016,0.151186153255439,1.78946594470802,0.073539807288525,0.286532213221639,"ENSDARG00000056625",3.60992842361115,"560433"
"98","dnase1l1",16.4347828282631,-1.00159729956492,0.464939617599378,-2.15425242687742,0.0312203814496118,0.170464881276572,"ENSDARG00000008757",2.46668414585252,"557772"
"99","smim4",11.6618021159404,-0.251874441183908,0.697696071993229,-0.361008827904585,0.718092847765244,0.89315903246666,"ENSDARG00000070839",-0.668843596141969,"101883329"
